x,y,z
0.43,-8.61,1.16
1.83,-7.93,1.10
2.20,-6.90,1.46
3.36,-5.68,1.77
5.07,-5.86,1.04
6.23,-7.39,0.55
5.74,-7.87,-0.18
4.82,-7.39,-0.55
2.93,-6.77,-0.43
1.34,-6.59,-0.79
0.92,-5.07,-0.73
2.62,-3.54,0.18
3.48,-1.16,1.22
3.05,1.77,2.14
3.36,4.70,2.38
5.37,6.59,1.65
7.26,4.27,0.18
9.64,0.37,-1.10
11.29,-2.50,-1.83
13.00,-4.46,-2.01
13.73,-4.46,-2.20
13.18,-3.17,-2.08
11.96,-1.59,-1.40
8.67,-0.24,-0.31
4.33,1.22,0.67
3.48,2.75,1.04
4.76,4.21,0.92
6.35,3.05,0.18
7.87,1.10,-1.46
10.38,-0.06,-2.81
12.94,-0.55,-3.17
12.45,-0.43,-2.99
10.62,-0.85,-2.38
11.05,-0.85,-2.14
6.71,0.06,-1.59
2.69,-0.31,-0.79
0.79,-1.04,-0.79
0.18,-1.04,-1.71
0.55,-2.38,-3.23
2.32,-5.62,-5.07
3.85,-9.40,-6.65
3.97,-12.88,-7.81
4.03,-14.83,-7.63
3.11,-15.50,-6.71
4.21,-15.08,-6.90
6.47,-13.24,-8.18
8.12,-10.74,-8.85
8.79,-10.13,-8.18
7.26,-10.68,-7.20
5.68,-11.66,-6.96
5.80,-12.82,-7.32
7.63,-13.43,-7.81
9.40,-13.06,-8.30
9.52,-13.37,-8.18
9.34,-13.85,-8.18
8.73,-14.40,-8.42
7.45,-14.83,-8.61
6.10,-14.65,-8.54
5.37,-14.34,-9.22
4.70,-14.53,-9.95
5.19,-14.71,-10.86
7.93,-14.71,-11.54
11.60,-13.79,-12.39
13.73,-12.08,-12.76
15.56,-10.31,-12.88
13.67,-10.07,-11.96
9.70,-10.62,-10.56
9.77,-10.19,-9.89
11.78,-9.03,-10.31
13.55,-7.51,-11.47
16.48,-6.47,-12.63
19.10,-7.57,-13.67
21.12,-9.03,-14.53
23.13,-9.03,-14.28
24.05,-7.63,-13.12
24.29,-5.49,-12.15
23.74,-4.15,-11.54
22.16,-3.17,-10.38
20.87,-1.71,-9.16
20.57,0.85,-8.24
21.42,3.23,-8.24
19.59,3.60,-8.24
15.44,1.71,-7.87
13.18,-0.18,-7.81
12.21,-0.18,-7.51
11.84,0.67,-6.96
11.96,1.22,-6.71
11.23,1.46,-6.65
10.44,1.77,-6.47
9.58,1.16,-6.41
8.73,0.06,-6.16
8.06,-1.10,-5.25
5.62,-2.32,-4.03
4.52,-2.69,-2.75
4.82,-1.65,-1.89
3.91,-1.40,-1.16
2.81,-2.01,-0.73
3.72,-3.54,-0.31
5.00,-5.43,-0.18
4.64,-7.75,0.24
3.78,-10.07,1.71
2.75,-10.19,3.85
1.16,-9.03,5.55
-0.12,-7.93,6.35
-2.44,-7.93,7.87
-4.03,-6.41,9.28
-3.30,-4.15,10.44
-1.65,-2.75,10.38
-0.18,-1.40,9.52
2.50,-0.61,8.79
4.03,-0.06,8.24
1.71,0.06,8.00
-0.98,-0.92,7.63
-3.54,-2.14,7.08
-5.31,-3.23,7.02
-6.47,-3.85,6.59
-8.61,-4.64,6.59
-9.89,-5.62,5.98
-8.61,-5.80,4.94
-5.80,-5.13,3.72
-4.94,-4.94,3.05
-3.05,-4.09,1.77
0.43,-2.56,0.73
3.11,-0.98,0.43
2.99,-1.22,1.34
-1.53,-2.32,3.66
-6.23,-4.15,5.43
-7.45,-5.68,4.94
-8.24,-7.51,3.42
-8.54,-9.22,2.32
-7.02,-10.86,1.77
-4.58,-10.99,1.10
-2.75,-9.64,1.28
-3.54,-7.69,2.44
-5.19,-5.68,4.15
-5.43,-4.03,5.55
-7.81,-2.62,6.16
-10.13,-2.50,5.37
-12.51,-4.70,3.91
-15.44,-8.73,2.50
-16.17,-11.78,1.10
-14.34,-13.00,0.12
-11.11,-11.29,0.43
-9.46,-7.75,1.59
-8.79,-3.72,2.81
-7.81,-0.31,2.93
-7.02,2.32,2.81
-8.18,2.87,2.99
-10.44,2.44,3.42
-12.15,2.01,3.78
-12.94,1.40,4.39
-11.72,1.16,4.64
-9.46,2.20,5.13
-7.57,3.48,5.37
-5.00,4.33,5.86
-1.04,6.41,5.07
2.99,8.12,3.42
6.16,8.54,1.89
7.81,8.00,1.95
4.39,6.77,3.78
-1.10,6.59,5.62
-5.74,8.91,7.81
-10.44,12.27,10.07
-14.10,15.26,11.54
-15.99,17.82,11.47
-16.97,19.23,10.99
-15.26,19.17,9.83
-13.00,18.86,8.00
-10.01,16.97,6.16
-6.53,15.69,5.98
-5.13,15.32,6.47
-5.55,15.44,6.71
-7.69,14.22,7.69
-10.44,12.45,8.48
-12.94,11.84,8.67
-13.31,10.99,7.57
-11.84,9.95,6.16
-10.62,9.89,4.94
-10.19,10.25,4.46
-8.00,10.74,4.03
-4.33,11.11,3.85
-1.10,11.66,4.21
0.55,12.02,4.46
-0.18,12.08,4.09
-6.35,10.68,3.54
-14.22,8.48,3.17
-20.14,5.98,3.17
-22.89,5.80,2.50
-23.68,4.70,1.10
-25.70,3.42,0.06
-26.12,1.46,-0.37
-26.79,-1.28,-0.06
-27.53,-3.78,0.31
-25.21,-4.46,0.24
-20.51,-4.58,-0.61
-15.63,-4.09,-1.28
-10.50,-3.48,-1.28
-7.81,-2.20,-0.49
-9.83,-1.34,0.31
-13.00,-1.40,0.61
-15.20,-1.53,0.18
-17.09,-1.95,0.18
-18.01,-1.22,0.00
-16.85,0.12,0.24
-15.75,2.44,0.79
-15.87,4.27,0.98
-11.96,4.88,0.92
-6.04,5.25,-0.12
-3.42,5.25,-0.79
-3.36,3.48,-1.16
-4.33,1.46,-1.46
-3.23,0.85,-1.28
-2.87,2.26,-0.92
-3.48,4.88,0.31
-5.74,7.14,2.32
-10.80,9.03,3.78
-11.66,10.56,4.46
-9.40,12.08,4.94
-8.42,12.88,5.49
-6.59,12.39,5.31
-5.86,10.86,5.00
-5.00,7.45,4.33
-0.12,2.87,3.54
1.89,1.95,2.20
4.82,4.27,1.83
7.08,2.62,3.36
3.60,1.59,4.33
-3.17,-0.98,3.91
-10.38,-3.48,3.42
-15.63,-4.76,2.75
-18.01,-5.62,2.14
-17.03,-7.51,1.65
-12.82,-8.24,0.85
-8.06,-6.90,0.85
-3.36,-5.49,1.34
1.71,-4.15,0.61
6.47,-3.30,-0.06
7.51,-3.23,0.31
4.82,-3.30,1.16
0.67,-1.89,1.65
-3.23,-1.46,1.71
-5.98,-2.26,1.34
-10.07,-1.65,0.49
-12.45,-11.78,0.67
-14.89,-14.53,-0.37
-14.83,-9.83,-1.71
-11.47,-9.83,-1.83
-6.96,-9.46,-1.95
-3.17,-10.50,-2.50
-0.79,-12.51,-3.17
-1.65,-12.70,-3.48
-4.52,-11.17,-3.54
-7.32,-10.50,-3.30
-11.54,-10.13,-2.75
-13.67,-8.97,-2.93
-13.37,-8.36,-3.48
-13.31,-8.67,-3.30
-11.78,-8.91,-3.05
-8.97,-8.18,-3.48
-6.04,-7.26,-3.72
-2.32,-7.32,-3.85
0.43,-7.26,-3.42
0.92,-7.08,-2.32
2.38,-6.16,-1.28
3.66,-6.16,-0.12
4.70,-5.62,1.10
5.31,-5.07,2.08
4.46,-5.68,2.93
5.00,-5.74,3.42
6.41,-5.31,3.66
7.75,-4.94,3.78
9.40,-4.27,4.21
10.38,-3.42,4.03
11.47,-4.64,3.60
11.29,-5.62,3.48
10.38,-5.13,3.60
8.97,-4.39,3.78
8.06,-4.39,3.66
9.09,-4.82,2.81
8.12,-6.29,2.32
7.32,-7.69,2.75
8.67,-8.85,2.56
10.19,-8.85,1.83
10.68,-8.06,1.59
10.62,-7.63,1.71
10.44,-6.65,1.34
10.38,-5.55,1.22
8.30,-5.13,0.61
6.71,-5.55,-0.24
9.52,-6.35,-1.04
13.79,-6.29,-3.30
16.66,-6.65,-4.39
18.80,-8.18,-4.21
19.90,-9.52,-3.60
18.92,-10.62,-2.75
17.09,-12.33,-2.01
13.79,-13.43,-1.77
8.54,-14.22,-1.65
4.58,-14.89,-1.71
1.89,-15.99,-0.92
0.85,-16.36,-0.67
2.50,-15.63,-0.92
3.23,-14.53,-0.98
3.23,-14.34,-0.73
3.78,-13.85,-0.67
7.26,-13.67,-0.55
10.68,-13.92,-1.04
13.24,-13.79,-2.08
15.20,-14.34,-2.87
16.17,-15.14,-2.62
14.10,-15.50,-1.95
11.23,-15.14,-1.34
10.38,-14.65,-0.98
10.38,-14.10,-0.92
9.34,-13.61,-1.04
6.65,-13.18,-0.98
4.33,-12.88,-0.92
4.27,-12.76,-0.85
3.91,-13.55,-1.16
2.44,-14.40,-1.53
1.46,-14.47,-2.26
0.92,-12.39,-1.83
2.32,-10.68,-1.16
1.40,-8.67,-0.61
-1.22,-7.02,-0.06
-3.48,-5.80,0.43
-5.62,-4.33,0.92
-6.04,-3.05,1.22
-4.70,-2.14,1.16
-0.06,-2.62,0.24
3.36,-4.09,-0.92
5.13,-5.43,-0.73
7.75,-5.74,-0.31
11.29,-5.31,0.06
13.18,-4.52,0.24
12.02,-3.36,0.55
11.78,-2.50,0.92
10.38,-1.53,1.53
7.87,-1.83,1.46
8.91,-2.81,0.85
12.51,-4.03,-0.49
16.42,-4.64,-1.46
20.51,-4.33,-2.14
23.80,-3.42,-2.87
28.20,-2.81,-3.66
29.24,-1.95,-3.54
26.12,-0.24,-2.44
23.07,1.65,-1.53
19.96,3.30,-1.22
14.59,3.36,-0.98
9.95,1.65,-0.85
7.39,-0.12,-0.98
4.70,-0.85,-1.40
5.00,0.06,-1.71
7.26,1.34,-2.14
9.40,2.87,-2.56
11.72,3.48,-2.87
11.47,4.70,-2.69
11.66,6.71,-2.20
13.55,8.79,-1.40
15.01,10.74,-0.18
17.82,13.37,0.92
21.12,15.14,1.53
21.79,12.94,2.56
20.51,7.51,2.81
20.20,1.71,1.95
21.12,-1.77,0.06
19.35,-4.03,-1.77
16.54,-5.13,-3.78
15.81,-4.82,-6.29
16.17,-3.97,-7.93
16.85,-4.15,-8.54
18.68,-5.31,-9.70
21.79,-5.49,-11.41
25.15,-5.62,-12.82
28.44,-7.02,-13.73
28.99,-8.91,-13.67
26.49,-11.29,-12.27
21.73,-14.04,-10.19
18.49,-15.87,-7.51
18.62,-15.32,-4.82
18.86,-13.31,-2.75
20.45,-10.86,-2.01
21.73,-9.09,-1.95
21.91,-8.12,-2.75
21.85,-6.90,-4.33
20.57,-6.16,-6.16
18.07,-6.77,-7.32
15.14,-7.45,-7.87
13.18,-7.75,-7.26
12.76,-7.75,-6.47
11.35,-6.84,-5.43
9.70,-5.25,-4.76
10.25,-4.09,-3.60
11.96,-3.05,-3.05
15.20,-2.69,-2.99
17.33,-2.26,-3.11
15.44,-2.01,-3.54
12.02,-2.14,-3.91
8.30,-2.87,-3.72
7.26,-3.42,-3.30
7.39,-3.66,-2.69
6.35,-3.97,-2.38
7.39,-4.03,-3.17
9.89,-3.78,-4.03
10.50,-4.39,-4.03
10.93,-5.43,-3.78
11.29,-6.35,-3.23
12.94,-7.75,-2.75
14.53,-7.51,-2.69
14.10,-7.32,-3.11
13.73,-7.32,-4.33
15.93,-6.90,-5.37
15.44,-5.74,-4.94
12.15,-5.00,-3.48
9.16,-5.55,-2.44
5.37,-7.75,-1.83
1.83,-8.85,-1.16
0.37,-9.77,-0.73
0.73,-9.64,-0.43
2.56,-8.73,0.18
3.30,-7.69,1.34
2.20,-7.14,2.62
0.24,-6.59,3.48
-0.31,-6.84,3.72
2.99,-6.65,3.48
6.96,-5.80,2.99
7.87,-4.64,2.81
6.53,-4.09,3.17
4.15,-4.46,3.66
1.34,-4.82,4.33
-1.22,-5.07,4.64
-3.97,-4.88,4.70
-6.84,-4.76,4.88
-6.65,-3.66,4.94
-7.02,-2.56,5.62
-7.51,-2.87,5.74
-6.47,-3.72,5.74
-6.29,-4.70,5.37
-5.86,-4.94,4.39
-4.76,-4.64,2.93
-2.87,-4.46,1.10
-1.34,-4.15,-0.12
1.40,-3.66,-0.85
4.46,-2.26,-0.98
7.32,0.98,-0.18
7.14,3.54,1.59
0.73,4.70,4.39
-7.08,5.49,7.02
-13.55,6.10,8.12
-16.85,5.62,8.54
-17.15,5.00,7.51
-13.73,5.25,5.74
-8.85,6.16,4.39
-5.86,7.14,3.30
-3.30,7.87,2.75
-4.46,6.77,3.36
-10.01,3.17,5.43
-16.17,1.22,6.90
-19.90,0.37,7.26
-21.79,-0.55,6.96
-22.95,-1.71,7.20
-22.77,-1.16,7.26
-19.04,1.95,6.71
-14.28,6.53,5.80
-7.75,11.05,5.43
-1.53,13.98,5.25
3.97,14.34,4.94
3.54,11.90,5.07
-2.99,7.39,5.43
-10.25,2.81,6.10
-18.43,-0.49,6.59
-27.10,-2.50,6.65
-34.85,-4.09,6.59
-38.45,-3.36,7.32
-35.03,-0.37,7.57
-27.89,3.85,6.23
-19.78,6.53,4.82
-11.47,7.93,3.30
-4.64,6.47,2.44
-1.77,3.66,2.44
-1.59,1.10,3.23
-3.72,-0.49,5.98
-9.64,0.31,8.54
-13.37,3.78,10.44
-16.24,8.00,11.60
-16.91,11.29,11.66
-14.77,13.31,10.44
-13.55,12.33,8.85
-12.33,10.19,7.14
-8.00,7.45,5.74
-2.01,5.55,4.27
3.30,4.21,3.11
4.82,3.91,3.17
3.54,4.76,4.64
0.18,6.10,5.62
-3.54,7.45,6.47
-8.67,7.26,7.87
-14.53,5.74,8.42
-18.13,5.55,7.75
-16.42,5.49,6.23
-11.72,5.62,4.15
-6.71,4.64,2.56
-1.59,3.78,1.10
1.89,2.62,-0.18
3.11,1.89,-0.61
2.69,1.28,-0.37
-0.49,0.18,0.61
-6.10,-1.16,1.40
-11.41,-1.28,2.14
-15.87,-0.73,2.32
-18.37,0.67,1.95
-18.92,2.32,1.40
-18.25,3.30,0.61
-15.32,2.62,-0.61
-11.11,1.59,-1.65
-8.24,0.43,-2.26
-4.27,-0.43,-2.44
3.66,1.22,-2.81
11.05,4.46,-2.87
16.78,6.90,-2.14
20.69,8.73,-1.28
23.50,10.07,-0.31
22.03,10.07,1.16
19.53,8.67,2.75
16.05,6.35,3.42
9.40,4.21,3.30
0.67,1.83,2.75
-9.03,-0.49,2.20
-17.76,-2.62,1.83
-23.50,-4.21,1.77
-23.19,-4.03,1.16
-20.26,-1.34,0.67
-17.46,2.14,0.55
-15.01,4.82,0.61
-13.73,6.04,0.24
-12.02,6.65,-0.18
-10.19,6.47,-0.43
-8.36,5.86,-0.37
-8.00,5.49,-0.24
-8.97,5.49,0.00
-11.41,5.13,0.43
-13.73,4.76,1.04
-15.50,5.25,1.34
-15.99,5.55,1.65
-15.26,5.62,1.34
-13.31,7.93,-0.37
-8.30,-2.81,-0.12
-5.19,-5.55,0.49
-3.23,-3.42,-0.73
0.98,-0.24,-1.83
3.91,0.85,-1.59
4.15,-1.40,-0.12
-0.61,-2.93,1.04
-4.03,-4.88,2.38
-6.29,-5.98,3.05
-5.43,-7.20,3.48
-5.00,-8.06,2.93
-5.37,-8.36,2.93
-3.23,-8.30,2.44
-3.23,-8.30,1.77
-3.36,-8.24,1.34
-2.56,-8.30,0.61
-2.01,-7.75,-0.24
-1.04,-6.47,-0.67
-0.06,-4.76,-0.43
-0.98,-3.97,0.49
-2.44,-3.11,0.73
-3.54,-1.28,0.79
-5.13,0.18,0.98
-6.84,0.06,1.16
-8.67,-0.43,1.22
-8.85,-0.31,0.73
-7.08,-0.67,0.00
-5.86,-1.53,-0.55
-4.82,-2.08,-0.79
-2.99,-1.71,-1.10
-1.89,-1.22,-1.04
-2.38,1.34,-0.98
-2.75,-5.37,-0.73
-6.65,-6.29,-0.67
-11.66,0.06,-1.16
-13.55,3.30,-0.67
-16.42,5.25,0.00
-18.37,4.09,0.31
-17.64,4.33,-0.37
-16.48,4.03,-1.28
-12.82,1.46,-2.01
-9.95,0.12,-2.26
-9.28,-1.34,-2.38
-8.48,-2.20,-2.62
-8.79,-2.32,-2.75
-8.91,-3.72,-2.44
-8.97,-4.94,-1.95
-10.01,-5.00,-1.59
-8.67,-5.62,-1.40
-5.68,-6.29,-1.34
-2.81,-6.41,-1.10
-0.49,-5.62,-0.67
-0.24,-4.58,-0.37
0.79,-4.09,-0.12
1.28,-4.88,0.12
1.77,-4.58,0.06
2.69,-3.78,-0.18
3.48,-4.82,-0.24
4.27,-5.80,-0.24
5.62,-5.19,-0.55
6.65,-4.46,-0.55
6.84,-4.82,-0.12
7.45,-5.07,0.18
9.16,-4.58,0.12
9.95,-3.91,0.43
9.52,-6.77,0.67
9.46,-8.06,1.22
9.58,-8.30,1.10
10.74,-8.54,0.67
10.44,-9.09,1.95
10.13,-8.24,1.95
11.60,-8.18,1.46
12.57,-8.30,0.73
13.73,-8.42,0.43
13.92,-9.52,0.37
12.57,-10.68,1.22
11.23,-11.66,1.77
12.15,-13.12,1.59
14.65,-14.53,0.55
17.27,-15.01,0.12
20.02,-14.89,0.12
23.19,-15.14,0.00
26.73,-14.47,-0.73
28.50,-13.55,-1.28
28.14,-13.49,-1.46
26.31,-13.67,-1.65
25.76,-12.21,-2.50
26.73,-10.19,-3.30
28.69,-10.86,-3.36
30.64,-12.21,-3.42
